"category","subcategory","name","description","url","price","image","story"
"guizhou","ethnic-wear","苗银凤冠","黔东南苗族节庆银冠，银匠全手工錾刻，龙凤花鸟纹样于方寸银片间细錾而出，华美庄重。","https://search.jd.com/Search?keyword=苗银凤冠","288","/images/products/guizhou/miao-silver-phoenix-crown.png","苗银锻造技艺是国家级非物质文化遗产。苗家人相信银子能驱邪避灾、守护安康，姑娘的银冠越重，越显家底殷实。一顶凤冠需银匠錾刻数月，龙凤花鸟皆在方寸银片上细錾而出，是苗族""穿在身上的史诗""。"
"guizhou","ethnic-wear","苗绣披肩","苗族手工刺绣披肩，靛蓝手织布上以细密针脚绣出蝴蝶妈妈与花卉纹样，色彩明艳。","https://search.jd.com/Search?keyword=苗绣披肩","158","/images/products/guizhou/miao-embroidered-shawl.png","苗绣是国家级非遗，被誉为""穿在身上的史书""。苗族没有文字，历史与迁徙的记忆都绣进了衣裳：蝴蝶妈妈是苗家人的始祖传说，漩涡纹记录渡过的江河。一件绣品往往要绣上年余，一针一线都是母传女的手艺。"
"guizhou","ethnic-wear","侗族亮布上衣","侗族传统亮布上衣，靛蓝染布涂蛋清反复捶打泛出紫铜光泽，银饰滚边，越穿越亮。","https://search.jd.com/Search?keyword=侗族亮布","198","/images/products/guizhou/dong-glossy-fabric-jacket.png","侗布又称""亮布""，是侗族传承千年的织物。靛蓝染就的布料涂上蛋清反复捶打，晾晒后泛出紫铜般的光泽，越穿越亮。侗家姑娘的嫁衣多用亮布制成，一匹好亮布要经过上百次捶打与熏蒸。"
"guizhou","ethnic-wear","苗族百褶裙","传统苗族百褶裙，手工逐褶折叠熨烫定型，裙面拼接靛蓝蜡染布，数百褶裥随身摇曳。","https://search.jd.com/Search?keyword=苗族百褶裙","129","/images/products/guizhou/miao-pleated-skirt.png","苗族百褶裙的每一道褶都是手工折叠、熨烫定型，一条裙子常有数百褶。裙面上的蜡染花纹记录着苗家人迁徙途中翻越的山川河流，穿上它就是随身携带一部民族史。"
"guizhou","ethnic-wear","布依族蜡染桌布","布依族手工蜡染桌布，铜刀蘸蜡绘制漩涡与游鱼纹，靛蓝浸染、沸水脱蜡，冰裂纹理独一无二。","https://search.jd.com/Search?keyword=蜡染桌布","68","/images/products/guizhou/buyi-batik-tablecloth.png","蜡染技艺在贵州传承两千余年，苗族、布依族皆有""以蜡防染""的古法：用铜刀蘸蜡在白布上作画，入靛蓝染缸浸染，再以沸水脱蜡——冰裂开的细纹是机器无法复刻的""冰花""，每一张蜡染都是孤品。"
"guizhou","craft","苗银龙纹手镯","苗族银匠手制龙纹手镯，浮雕龙鳞全凭手工錾刻，经熔炼、锻打、錾刻等三十余道工序。","https://search.jd.com/Search?keyword=苗银手镯","88","/images/products/guizhou/miao-silver-dragon-bracelet.png","贵州雷山县控拜村是有名的""银匠村""，银饰锻造技艺世代家传。一件手镯要经熔炼、锻打、錾刻、洗银等三十多道工序，龙纹鳞片刻刻全凭手上功夫，苗家人戴上它祈福纳吉。"
"guizhou","craft","丹寨蜡染帆布包","丹寨蜡染帆布托特包，自然棉布上以蜂蜡绘制鸟窝花与漩涡纹，实用之余尽显千年手艺。","https://search.jd.com/Search?keyword=蜡染帆布包","75","/images/products/guizhou/danzhai-batik-tote.png","丹寨被誉为""蜡染之乡""，苗族画娘不打草稿，铜刀为笔、蜂蜡为墨，鸟窝花、漩涡纹信手而来。2006年苗族蜡染技艺入选首批国家级非遗名录，一只帆布包也带着千年手艺的温度。"
"guizhou","food","老干妈油辣椒","贵州经典老干妈油辣椒，发酵豆豉配酥脆辣椒片，香辣醇厚，下饭神器。","https://search.jd.com/Search?keyword=老干妈","9","/images/products/guizhou/lao-gan-ma-chili-crisp.png","老干妈是贵州遵义辣椒写成的传奇：一瓶油辣椒让全世界记住了贵州味道。贵州人""无辣不欢""，糊辣椒蘸水是每张餐桌的标配，这瓶辣酱正是黔味""香辣醇厚""的代表作。"
"guizhou","food","贵州红酸汤火锅底料","凯里红酸汤火锅底料，以毛辣果与糯米自然发酵，酸香开胃，在家复刻苗家酸汤鱼。","https://search.jd.com/Search?keyword=红酸汤","12","/images/products/guizhou/guizhou-sour-soup-base.png","三天不吃酸，走路打蹿蹿——凯里红酸汤用毛辣果（野生小番茄）与糯米自然发酵而成，酸香开胃。酸汤鱼是苗族待客的最高礼遇，一锅红汤煮尽黔东南的山野灵气。"
"guizhou","food","刺梨原汁","贵州特产刺梨原汁，山野刺梨鲜榨，维C含量丰富，口感清冽回甘。","https://search.jd.com/Search?keyword=刺梨汁","6","/images/products/guizhou/cili-pear-juice.png","刺梨是贵州特有的山果，维生素C含量是柠檬的100倍，被称为""维C之王""。布依族自古用它酿酒入药，如今这颗长刺的小金果成了贵州乡村振兴的""致富果""。"
"guizhou","food","安顺波波糖","安顺镇宁传统波波糖，糯米麦芽熬糖包入酥麻芯子，入口即化、落口酥香。","https://search.jd.com/Search?keyword=波波糖","8","/images/products/guizhou/anshun-bobo-candy.png","波波糖是安顺镇宁六百年的老手艺：以糯米、麦芽熬糖，包入酥麻芯子，入口即化、落口酥香。相传明清时曾是驿道商旅的干粮，如今是贵州人年节待客的甜蜜记忆。"
"guizhou","food","贵州麻辣牛肉干","贵州手作麻辣牛肉干，取牛后腿精华肉，佐本地糊辣椒与折耳根香料慢火烘制，咸香带劲。","https://search.jd.com/Search?keyword=贵州牛肉干","15","/images/products/guizhou/guizhou-spiced-beef-jerky.png","贵州牛肉干讲究""一头牛只取后腿精华肉""，佐以本地糊辣椒与折耳根香料慢火烘制。折耳根是黔人舌尖上的乡愁，外地人避之不及、本地人顿顿不离，这份独特风味尽在这一口咸香里。"
"guizhou","drink","都匀毛尖绿茶","都匀毛尖绿茶，高山茶园嫩芽卷曲，栗香持久，三绿透黄，明前茶一年仅采十来天。","https://search.jd.com/Search?keyword=都匀毛尖","45","/images/products/guizhou/duyun-maojian-green-tea.png","都匀毛尖是中国十大名茶之一，1915年巴拿马万国博览会夺金奖。茶山终年云雾缭绕，""三绿透黄""是其绝活：干茶绿中带黄、汤色绿中透黄、叶底绿中显黄。明前茶一年仅采十来天。"
"guizhou","drink","茅台镇酱香型白酒","茅台镇酱香型白酒，本地红缨子高粱配赤水河水，九次蒸煮、八次发酵、七次取酒，历时一年方成。","https://search.jd.com/Search?keyword=茅台镇酱香酒","168","/images/products/guizhou/moutai-town-sauce-aroma-baijiu.png","赤水河畔的茅台镇藏着酱香酒的天时地利：红缨子高粱、紫红泥土、湿热河谷气候，酿造须历经九次蒸煮、八次发酵、七次取酒，历时一整年。离开茅台镇，酿不出这口""酱香""。"
"guizhou","craft","苗银蝴蝶吊坠","苗族银匠手制蝴蝶吊坠，细丝盘花工艺，蝴蝶妈妈纹样，寓意始祖庇佑。","https://search.jd.com/Search?keyword=苗银吊坠","168","/images/products/guizhou/miao-silver-butterfly-pendant.png","苗家人称蝴蝶为""蝴蝶妈妈""，传说是苗族的始祖。银匠将细银丝盘成蝶翼，一枚吊坠要盘绕上百圈。蝴蝶妈妈与十二个蛋的传说在苗歌里传唱千年，戴上它便是把祖先的祝福带在身上。"
"guizhou","craft","苗银扭丝项圈","苗族传统扭丝项圈，多股银丝拧转而成，素雅大气，日常与盛装皆宜。","https://search.jd.com/Search?keyword=苗银项圈","218","/images/products/guizhou/miao-silver-twisted-collar.png","扭丝是苗银最见功夫的技艺之一：银条先拉成丝，再两股或多股反向拧紧，力道稍偏即前功尽弃。雷山银匠的扭丝项圈曾是姑娘出嫁的必备嫁妆，圈住的是一生平安。"
"guizhou","ethnic-wear","水族马尾绣围腰","水族马尾绣围腰，以马尾为芯缠丝绣成，纹样立体粗犷，被誉为刺绣活化石。","https://search.jd.com/Search?keyword=马尾绣","388","/images/products/guizhou/shui-horsetail-embroidery-apron.png","马尾绣是水族独有的国家级非遗，已传承上千年：先将白色丝线缠绕马尾毛成""马尾线""，再盘绣成花。马尾自带光泽且坚韧不腐，绣品历经百年依然挺括如新，是水族女子代代相传的看家手艺。"
"guizhou","ethnic-wear","侗族刺绣童帽","侗族手工刺绣儿童帽，五彩丝线绣花鸟，帽顶缀银饰与流苏，暖意与祝福兼备。","https://search.jd.com/Search?keyword=民族刺绣童帽","128","/images/products/guizhou/dong-embroidered-baby-hat.png","侗族童帽上的花纹皆有讲究：帽前绣虎头辟邪，两侧绣花果盼成长，帽顶银饰叮当作响，是为孩子驱惊安神。外婆送出的第一顶童帽，往往绣了整个月子，一针一线都是隔代的疼爱。"
"guizhou","ethnic-wear","苗族蜡染长围巾","苗族蜡染长围巾，靛蓝底色上以蜂蜡绘制漩涡鸟纹，冰裂细纹独一无二。","https://search.jd.com/Search?keyword=蜡染围巾","98","/images/products/guizhou/miao-batik-scarf.png","一条围巾要经过点蜡、浸染、脱蜡三道大关：画娘以铜刀为笔蘸蜡作画，入靛缸反复浸染，沸水脱蜡后方显真容。蜡层自然龟裂形成的""冰花""无法复制，世界上没有两条相同的蜡染围巾。"
